date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_touches,home_pressures,home_tackles,home_interceptions,home_blocks,home_shot_creating_actions,home_goal_creating_actions,home_passes_attempted,home_passes_completed,home_carries,home_passing_progressive_dist,home_carry_progressive_dist,home_dribble_attempts,home_dribble_success,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_touches,away_pressures,away_tackles,away_interceptions,away_blocks,away_shot_creating_actions,away_goal_creating_actions,away_passes_attempted,away_passes_completed,away_carries,away_passing_progressive_dist,away_carry_progressive_dist,away_dribble_attempts,away_dribble_success,away_fouls_committed,season
2017-08-18,Bayern Munich,Leverkusen,3,1,2.5,2.1,75000,Tobias Stieler,https://fbref.com/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,1,1,1,0,13,7,621,158,12,9,15,22,6,517,429,459,2984,1457,12,10,13,0,0,2,0,19,4,590,116,13,2,12,29,2,498,413,466,2493,1658,12,7,18,2017-2018
2017-08-19,Hoffenheim,Werder Bremen,1,0,1.2,1,30150,Guido Winkmann,https://fbref.com/en/matches/7fa19f7c/Hoffenheim-Werder-Bremen-August-19-2017-Bundesliga,0,0,1,0,16,2,776,138,9,6,20,24,0,665,561,617,3196,2072,14,9,17,0,0,3,0,12,2,503,123,25,11,20,18,0,385,278,317,2117,900,10,4,15,2017-2018
2017-08-19,Mainz 05,Hannover 96,0,1,0.9,0.7,28279,Felix Brych,https://fbref.com/en/matches/09cec3e9/Mainz-05-Hannover-96-August-19-2017-Bundesliga,0,0,3,0,14,4,662,129,18,16,11,18,0,564,444,458,3201,1147,14,6,18,0,0,5,0,5,2,449,102,13,7,13,7,2,349,230,240,1907,543,8,2,14,2017-2018
2017-08-19,Wolfsburg,Dortmund,0,3,0.5,1.1,30000,Robert Hartmann,https://fbref.com/en/matches/10673af1/Wolfsburg-Dortmund-August-19-2017-Bundesliga,0,0,0,0,8,0,407,145,17,9,18,14,0,303,159,191,1691,408,10,5,7,0,0,0,0,13,5,780,108,13,8,11,24,5,692,541,535,3395,1482,11,8,15,2017-2018
2017-08-19,Hamburger SV,Augsburg,1,0,0.7,0.6,49449,Daniel Siebert,https://fbref.com/en/matches/f65cd7dc/Hamburger-SV-Augsburg-August-19-2017-Bundesliga,0,0,4,0,11,5,456,210,18,6,28,17,2,309,196,211,2330,647,15,7,18,0,0,3,0,15,1,676,142,16,5,9,26,0,546,411,409,3232,1244,25,17,16,2017-2018
2017-08-19,Hertha BSC,Stuttgart,2,0,0.7,1.2,44751,Sascha Stegemann,https://fbref.com/en/matches/0339770e/Hertha-BSC-Stuttgart-August-19-2017-Bundesliga,0,0,2,0,11,4,642,138,15,8,12,13,2,547,442,476,3134,1466,9,4,19,0,0,1,0,8,2,582,169,14,8,11,11,0,481,383,405,2293,1324,9,6,12,2017-2018
2017-08-19,Schalke 04,RB Leipzig,2,0,1.6,0.9,61435,Felix Zwayer,https://fbref.com/en/matches/c516f9b3/Schalke-04-RB-Leipzig-August-19-2017-Bundesliga,1,1,2,0,10,4,488,161,14,7,21,14,4,379,243,281,2375,740,16,11,22,0,0,2,0,14,3,729,109,9,4,18,21,0,626,487,530,3398,1522,19,14,18,2017-2018
2017-08-20,Freiburg,Eint Frankfurt,0,0,0.2,1.3,24000,Manuel Gräfe,https://fbref.com/en/matches/a3858878/Freiburg-Eintracht-Frankfurt-August-20-2017-Bundesliga,0,0,1,0,6,1,613,120,8,5,14,7,0,522,398,429,3008,1404,13,7,8,0,0,2,0,16,2,512,121,15,9,9,23,0,418,294,310,2795,1302,14,10,18,2017-2018
2017-08-20,M'Gladbach,Köln,1,0,1.5,1,54018,Deniz Aytekin,https://fbref.com/en/matches/4fbf64fe/Monchengladbach-Koln-August-20-2017-Bundesliga,0,0,3,0,22,9,710,145,13,5,13,37,2,601,502,539,3175,2002,9,6,12,0,0,2,0,12,1,647,243,22,5,21,22,0,543,442,461,3228,1408,11,6,11,2017-2018
2017-08-25,Köln,Hamburger SV,1,3,2.3,1.7,50000,Felix Brych,https://fbref.com/en/matches/4fc1a614/Koln-Hamburger-SV-August-25-2017-Bundesliga,0,0,2,0,23,8,704,84,10,2,15,30,2,613,490,532,3350,1533,22,16,9,0,0,3,1,12,4,362,159,15,14,12,16,3,264,153,188,1703,887,7,7,9,2017-2018
