date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2020-06-14,Sirius,Djurgården,0,2,NA,NA,0,Victor Wolf,https://fbref.com/en/matches/49f71975/Sirius-Djurgarden-June-14-2020-Allsvenskan,0,0,1,0,18,3,9,7,13,0,0,1,0,10,3,11,9,12,2020
2020-06-14,Göteborg,Elfsborg,0,1,NA,NA,0,Glenn Nyberg,https://fbref.com/en/matches/a71b9073/Goteborg-Elfsborg-June-14-2020-Allsvenskan,0,0,1,1,12,4,9,8,11,0,0,2,0,9,3,9,13,25,2020
2020-06-14,Norrköping,Kalmar,2,1,NA,NA,0,Mohammed Al Hakim,https://fbref.com/en/matches/96ab2043/Norrkoping-Kalmar-June-14-2020-Allsvenskan,0,0,2,0,18,10,5,9,10,0,0,1,0,6,1,8,7,14,2020
2020-06-14,Örebro,AIK Stockholm,0,2,NA,NA,0,Martin Strömbergsson,https://fbref.com/en/matches/a53775a6/Orebro-AIK-Stockholm-June-14-2020-Allsvenskan,0,0,1,0,13,5,13,9,6,0,0,1,0,10,4,11,8,12,2020
2020-06-14,Hammarby,Östersund,2,0,NA,NA,0,Bojan Pandzic,https://fbref.com/en/matches/4fd1fff6/Hammarby-Ostersund-June-14-2020-Allsvenskan,0,1,1,0,19,6,10,12,12,0,0,2,0,6,2,12,17,11,2020
2020-06-15,Malmö,Mjällby,2,0,NA,NA,0,Kristoffer Karlsson,https://fbref.com/en/matches/f2fab444/Malmo-Mjallby-June-15-2020-Allsvenskan,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
2020-06-15,Helsingborg,Varberg,0,3,NA,NA,0,Andreas Ekberg,https://fbref.com/en/matches/fc4aafad/Helsingborg-Varberg-June-15-2020-Allsvenskan,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2020
2020-06-15,Falkenberg,Häcken,1,1,NA,NA,0,Kaspar Sjöberg,https://fbref.com/en/matches/96c7b4e3/Falkenberg-Hacken-June-15-2020-Allsvenskan,0,0,0,0,14,4,10,16,11,0,0,2,0,9,5,10,5,22,2020
2020-06-17,Djurgården,Örebro,1,2,NA,NA,0,Adam Ladebäck,https://fbref.com/en/matches/14dd59bb/Djurgarden-Orebro-June-17-2020-Allsvenskan,0,0,1,0,15,4,7,6,14,0,0,4,0,17,7,10,5,16,2020
2020-06-17,AIK Stockholm,Norrköping,1,4,NA,NA,0,Glenn Nyberg,https://fbref.com/en/matches/cb66f52e/AIK-Stockholm-Norrkoping-June-17-2020-Allsvenskan,0,0,1,0,12,2,12,13,7,1,1,2,0,13,8,7,7,11,2020
